regulator	target	mor	likelihood
E2F1_UP.V1_UP	SLC9A3R1	1	1
E2F1_UP.V1_UP	VEGFA	1	1
E2F1_UP.V1_UP	MXI1	1	1
E2F1_UP.V1_UP	TRNT1	1	1
E2F1_UP.V1_UP	IVNS1ABP	1	1
E2F1_UP.V1_UP	FRAT2	1	1
E2F1_UP.V1_UP	PKP4	1	1
E2F1_UP.V1_UP	USP39	1	1
E2F1_UP.V1_UP	SGOL1	1	1
E2F1_UP.V1_UP	PSME3	1	1
E2F1_UP.V1_UP	MPG	1	1
E2F1_UP.V1_UP	TYMS	1	1
E2F1_UP.V1_UP	GPN2	1	1
E2F1_UP.V1_UP	GATA6	1	1
E2F1_UP.V1_UP	AURKB	1	1
E2F1_UP.V1_UP	ADA	1	1
E2F1_UP.V1_UP	RBM15	1	1
E2F1_UP.V1_UP	MFI2	1	1
E2F1_UP.V1_UP	UBE2T	1	1
E2F1_UP.V1_UP	DFNA5	1	1
E2F1_UP.V1_UP	CNOT7	1	1
E2F1_UP.V1_UP	PARP1	1	1
E2F1_UP.V1_UP	SHBG	1	1
E2F1_UP.V1_UP	ARF3	1	1
E2F1_UP.V1_UP	CSTF2	1	1
E2F1_UP.V1_UP	PIGA	1	1
E2F1_UP.V1_UP	BUB1	1	1
E2F1_UP.V1_UP	TAF9	1	1
E2F1_UP.V1_UP	BCL2	1	1
E2F1_UP.V1_UP	VPREB3	1	1
E2F1_UP.V1_UP	RHBDL3	1	1
E2F1_UP.V1_UP	HMGB3	1	1
E2F1_UP.V1_UP	FMNL3	1	1
E2F1_UP.V1_UP	POLA2	1	1
E2F1_UP.V1_UP	USF2	1	1
E2F1_UP.V1_UP	PARP16	1	1
E2F1_UP.V1_UP	RDH13	1	1
E2F1_UP.V1_UP	ITSN1	1	1
E2F1_UP.V1_UP	ERCC2	1	1
E2F1_UP.V1_UP	LPIN2	1	1
E2F1_UP.V1_UP	NOLC1	1	1
E2F1_UP.V1_UP	SLC7A1	1	1
E2F1_UP.V1_UP	TFAM	1	1
E2F1_UP.V1_UP	RND2	1	1
E2F1_UP.V1_UP	UQCC	1	1
E2F1_UP.V1_UP	CRYZ	1	1
E2F1_UP.V1_UP	MASP1	1	1
E2F1_UP.V1_UP	BOLA3	1	1
E2F1_UP.V1_UP	HSPB2	1	1
E2F1_UP.V1_UP	C4orf27	1	1
E2F1_UP.V1_UP	PRC1	1	1
E2F1_UP.V1_UP	USP10	1	1
E2F1_UP.V1_UP	TRAF3	1	1
E2F1_UP.V1_UP	ELANE	1	1
E2F1_UP.V1_UP	NBL1	1	1
E2F1_UP.V1_UP	SOCS2	1	1
E2F1_UP.V1_UP	PIP4K2A	1	1
E2F1_UP.V1_UP	UCK2	1	1
E2F1_UP.V1_UP	EIF2C2	1	1
E2F1_UP.V1_UP	ARHGAP39	1	1
E2F1_UP.V1_UP	SLBP	1	1
E2F1_UP.V1_UP	DBF4	1	1
E2F1_UP.V1_UP	DLGAP5	1	1
E2F1_UP.V1_UP	KPNA1	1	1
E2F1_UP.V1_UP	KANK3	1	1
E2F1_UP.V1_UP	CDV3	1	1
E2F1_UP.V1_UP	DNAJC21	1	1
E2F1_UP.V1_UP	FANCM	1	1
E2F1_UP.V1_UP	ARHGAP8	1	1
E2F1_UP.V1_UP	PTPN21	1	1
E2F1_UP.V1_UP	CHEK1	1	1
E2F1_UP.V1_UP	SPEF1	1	1
E2F1_UP.V1_UP	FEN1	1	1
E2F1_UP.V1_UP	INO80C	1	1
E2F1_UP.V1_UP	UBN1	1	1
E2F1_UP.V1_UP	PIM1	1	1
E2F1_UP.V1_UP	KIFC1	1	1
E2F1_UP.V1_UP	PHF12	1	1
E2F1_UP.V1_UP	PLK4	1	1
E2F1_UP.V1_UP	MSH3	1	1
E2F1_UP.V1_UP	CDR2L	1	1
E2F1_UP.V1_UP	CCRN4L	1	1
E2F1_UP.V1_UP	NOP56	1	1
E2F1_UP.V1_UP	PAIP2B	1	1
E2F1_UP.V1_UP	UPK2	1	1
E2F1_UP.V1_UP	TPM2	1	1
E2F1_UP.V1_UP	DMBT1	1	1
E2F1_UP.V1_UP	LARP4B	1	1
E2F1_UP.V1_UP	SMAD1	1	1
E2F1_UP.V1_UP	MCM4	1	1
E2F1_UP.V1_UP	WRN	1	1
E2F1_UP.V1_UP	MAPK14	1	1
E2F1_UP.V1_UP	CAD	1	1
E2F1_UP.V1_UP	DDB1	1	1
E2F1_UP.V1_UP	GPR19	1	1
E2F1_UP.V1_UP	MED20	1	1
E2F1_UP.V1_UP	SMC2	1	1
E2F1_UP.V1_UP	E2F3	1	1
E2F1_UP.V1_UP	RRM1	1	1
E2F1_UP.V1_UP	ADIPOR2	1	1
E2F1_UP.V1_UP	STIL	1	1
E2F1_UP.V1_UP	MAP3K11	1	1
EGFR_UP.V1_DN	NPY1R	1	1
EGFR_UP.V1_DN	PDZK1	1	1
EGFR_UP.V1_DN	GFRA1	1	1
EGFR_UP.V1_DN	GREB1	1	1
EGFR_UP.V1_DN	MSMB	1	1
EGFR_UP.V1_DN	DLC1	1	1
EGFR_UP.V1_DN	MYB	1	1
EGFR_UP.V1_DN	SLC6A14	1	1
EGFR_UP.V1_DN	IFI44	1	1
EGFR_UP.V1_DN	IFI44L	1	1
EGFR_UP.V1_DN	GPER	1	1
EGFR_UP.V1_DN	IRS1	1	1
EGFR_UP.V1_DN	CYBA	1	1
EGFR_UP.V1_DN	GULP1	1	1
EGFR_UP.V1_DN	EGR3	1	1
EGFR_UP.V1_DN	FAM50A	1	1
EGFR_UP.V1_DN	MDK	1	1
EGFR_UP.V1_DN	BCL2	1	1
EGFR_UP.V1_DN	HIST1H3H	1	1
EGFR_UP.V1_DN	IFI27	1	1
EGFR_UP.V1_DN	HIST1H2AC	1	1
EGFR_UP.V1_DN	GALC	1	1
EGFR_UP.V1_DN	WISP2	1	1
EGFR_UP.V1_DN	IFI6	1	1
EGFR_UP.V1_DN	EFHD1	1	1
EGFR_UP.V1_DN	HIST1H2BH	1	1
EGFR_UP.V1_DN	ARMCX1	1	1
EGFR_UP.V1_DN	PRKACB	1	1
EGFR_UP.V1_DN	HIST1H2BE	1	1
EGFR_UP.V1_DN	ID2	1	1
EGFR_UP.V1_DN	TTC39A	1	1
EGFR_UP.V1_DN	BTG3	1	1
EGFR_UP.V1_DN	OSR2	1	1
EGFR_UP.V1_DN	ADD3	1	1
EGFR_UP.V1_DN	TCN1	1	1
EGFR_UP.V1_DN	KIF5C	1	1
EGFR_UP.V1_DN	HIST1H2BG	1	1
EGFR_UP.V1_DN	SYCP2	1	1
EGFR_UP.V1_DN	ZNF107	1	1
EGFR_UP.V1_DN	KIAA1324	1	1
EGFR_UP.V1_DN	HIST1H2BF	1	1
EGFR_UP.V1_DN	FTO	1	1
EGFR_UP.V1_DN	CALB2	1	1
EGFR_UP.V1_DN	EFNB2	1	1
EGFR_UP.V1_DN	ZNF43	1	1
EGFR_UP.V1_DN	SPTBN1	1	1
EGFR_UP.V1_DN	POLI	1	1
EGFR_UP.V1_DN	XK	1	1
EGFR_UP.V1_DN	HIST1H4H	1	1
EGFR_UP.V1_DN	CELSR2	1	1
EGFR_UP.V1_DN	RNF43	1	1
EGFR_UP.V1_DN	SGCB	1	1
EGFR_UP.V1_DN	ASCL1	1	1
EGFR_UP.V1_DN	PCYOX1	1	1
EGFR_UP.V1_DN	NRIP1	1	1
EGFR_UP.V1_DN	INPP5F	1	1
EGFR_UP.V1_DN	RHOBTB3	1	1
EGFR_UP.V1_DN	ELOVL5	1	1
EGFR_UP.V1_DN	SLC27A3	1	1
EGFR_UP.V1_DN	DCAF6	1	1
EGFR_UP.V1_DN	MICB	1	1
EGFR_UP.V1_DN	CLK4	1	1
EGFR_UP.V1_DN	HIST1H1C	1	1
EGFR_UP.V1_DN	PEG10	1	1
EGFR_UP.V1_DN	DTL	1	1
EGFR_UP.V1_DN	APBB2	1	1
EGFR_UP.V1_DN	KIAA0430	1	1
EGFR_UP.V1_DN	SSFA2	1	1
EGFR_UP.V1_DN	MATN2	1	1
EGFR_UP.V1_DN	MFF	1	1
EGFR_UP.V1_DN	HIST1H2BI	1	1
EGFR_UP.V1_DN	POT1	1	1
EGFR_UP.V1_DN	PTBP2	1	1
EGFR_UP.V1_DN	HERC6	1	1
EGFR_UP.V1_DN	C16orf45	1	1
EGFR_UP.V1_DN	EIF2S3	1	1
EGFR_UP.V1_DN	DEPDC1	1	1
EGFR_UP.V1_DN	ANK3	1	1
EGFR_UP.V1_DN	WIPF1	1	1
EGFR_UP.V1_DN	DDX60	1	1
EGFR_UP.V1_DN	FAM115A	1	1
EGFR_UP.V1_DN	HIST1H2AG	1	1
EGFR_UP.V1_DN	SLC1A1	1	1
EGFR_UP.V1_DN	DERA	1	1
EGFR_UP.V1_DN	CSTA	1	1
EGFR_UP.V1_DN	PRR15L	1	1
EGFR_UP.V1_DN	SGCG	1	1
EGFR_UP.V1_DN	HSPA4L	1	1
EGFR_UP.V1_DN	PDCD4	1	1
EGFR_UP.V1_DN	IGF1R	1	1
EGFR_UP.V1_DN	FANCL	1	1
EGFR_UP.V1_DN	OVOL2	1	1
EGFR_UP.V1_DN	SMAD7	1	1
EGFR_UP.V1_DN	BRIP1	1	1
EGFR_UP.V1_DN	GTF2I	1	1
EGFR_UP.V1_DN	BDH1	1	1
EGFR_UP.V1_DN	COL9A3	1	1
EGFR_UP.V1_DN	ELF5	1	1
EGFR_UP.V1_DN	SOX3	1	1
EGFR_UP.V1_DN	CAV1	1	1
EGFR_UP.V1_DN	H2BFS	1	1
EGFR_UP.V1_DN	NDUFA5	1	1
EGFR_UP.V1_DN	EZH2	1	1
EGFR_UP.V1_DN	AGL	1	1
EGFR_UP.V1_DN	TMPRSS3	1	1
EGFR_UP.V1_DN	CTSH	1	1
EGFR_UP.V1_DN	SIGMAR1	1	1
EGFR_UP.V1_DN	BST2	1	1
EGFR_UP.V1_DN	IAPP	1	1
EGFR_UP.V1_DN	ARMC9	1	1
EGFR_UP.V1_DN	E2F8	1	1
EGFR_UP.V1_DN	TRIM24	1	1
EGFR_UP.V1_DN	CHN1	1	1
EGFR_UP.V1_DN	C5orf13	1	1
EGFR_UP.V1_DN	BDKRB2	1	1
EGFR_UP.V1_DN	ODZ3	1	1
EGFR_UP.V1_DN	ELOVL2	1	1
EGFR_UP.V1_DN	SNX7	1	1
EGFR_UP.V1_DN	PGR	1	1
EGFR_UP.V1_DN	HIST1H2BD	1	1
EGFR_UP.V1_DN	NMU	1	1
EGFR_UP.V1_DN	CBR4	1	1
EGFR_UP.V1_DN	ZSCAN18	1	1
EGFR_UP.V1_DN	CADM1	1	1
EGFR_UP.V1_DN	NCAPG2	1	1
EGFR_UP.V1_DN	CXCR7	1	1
EGFR_UP.V1_DN	KIF11	1	1
EGFR_UP.V1_DN	ABLIM1	1	1
EGFR_UP.V1_DN	LLGL2	1	1
EGFR_UP.V1_DN	PSPH	1	1
EGFR_UP.V1_DN	DMXL2	1	1
EGFR_UP.V1_DN	CASP6	1	1
EGFR_UP.V1_DN	HIST1H2AE	1	1
EGFR_UP.V1_DN	TMEM106B	1	1
EGFR_UP.V1_DN	NUP205	1	1
EGFR_UP.V1_DN	GRB10	1	1
EGFR_UP.V1_DN	ENPP4	1	1
EGFR_UP.V1_DN	MOCOS	1	1
EGFR_UP.V1_DN	MAFB	1	1
EGFR_UP.V1_DN	CDKN2AIP	1	1
EGFR_UP.V1_DN	C9orf3	1	1
EGFR_UP.V1_DN	C18orf8	1	1
EGFR_UP.V1_DN	TMEM48	1	1
EGFR_UP.V1_DN	CBFA2T3	1	1
EGFR_UP.V1_DN	ALG13	1	1
EGFR_UP.V1_DN	TSC22D3	1	1
EGFR_UP.V1_DN	MPDZ	1	1
