regulator	target	mor	likelihood
HALLMARK_HYPOXIA	ADORA2B	1	1
HALLMARK_HYPOXIA	HS3ST1	1	1
HALLMARK_HYPOXIA	PTRF	1	1
HALLMARK_HYPOXIA	NR3C1	1	1
HALLMARK_HYPOXIA	KLF6	1	1
HALLMARK_HYPOXIA	GPC4	1	1
HALLMARK_HYPOXIA	CYR61	1	1
HALLMARK_HYPOXIA	TNFAIP3	1	1
HALLMARK_HYPOXIA	CA12	1	1
HALLMARK_HYPOXIA	HEXA	1	1
HALLMARK_HYPOXIA	BGN	1	1
HALLMARK_HYPOXIA	PPP1R15A	1	1
HALLMARK_HYPOXIA	PGM2	1	1
HALLMARK_HYPOXIA	PIM1	1	1
HALLMARK_HYPOXIA	PRDX5	1	1
HALLMARK_HYPOXIA	NAGK	1	1
HALLMARK_HYPOXIA	CDKN1B	1	1
HALLMARK_HYPOXIA	BRS3	1	1
HALLMARK_HYPOXIA	TKTL1	1	1
HALLMARK_HYPOXIA	MT1E	1	1
HALLMARK_HYPOXIA	ATP7A	1	1
HALLMARK_HYPOXIA	MT2A	1	1
HALLMARK_HYPOXIA	SDC3	1	1
HALLMARK_HYPOXIA	TIPARP	1	1
HALLMARK_HYPOXIA	PKP1	1	1
HALLMARK_HYPOXIA	ANXA2	1	1
HALLMARK_HYPOXIA	PGAM2	1	1
HALLMARK_HYPOXIA	DDIT3	1	1
HALLMARK_HYPOXIA	PRKCA	1	1
HALLMARK_HYPOXIA	SLC37A4	1	1
HALLMARK_HYPOXIA	CXCR4	1	1
HALLMARK_HYPOXIA	EFNA3	1	1
HALLMARK_HYPOXIA	CP	1	1
HALLMARK_HYPOXIA	KLF7	1	1
HALLMARK_HYPOXIA	CTGF	1	1
HALLMARK_HYPOXIA	CHST3	1	1
HALLMARK_HYPOXIA	TPD52	1	1
HALLMARK_HYPOXIA	LXN	1	1
HALLMARK_HYPOXIA	B4GALNT2	1	1
HALLMARK_HYPOXIA	PPARGC1A	1	1
HALLMARK_HYPOXIA	BCL2	1	1
HALLMARK_HYPOXIA	GCNT2	1	1
HALLMARK_HYPOXIA	HAS1	1	1
HALLMARK_HYPOXIA	KLHL24	1	1
HALLMARK_HYPOXIA	SCARB1	1	1
HALLMARK_HYPOXIA	SLC25A1	1	1
HALLMARK_HYPOXIA	SDC2	1	1
HALLMARK_HYPOXIA	CASP6	1	1
HALLMARK_HYPOXIA	VHL	1	1
HALLMARK_HYPOXIA	FOXO3	1	1
HALLMARK_HYPOXIA	PDGFB	1	1
HALLMARK_HYPOXIA	B3GALT6	1	1
HALLMARK_HYPOXIA	SLC2A5	1	1
HALLMARK_HYPOXIA	SRPX	1	1
HALLMARK_HYPOXIA	EFNA1	1	1
HALLMARK_HYPOXIA	GLRX	1	1
HALLMARK_HYPOXIA	CXCR7	1	1
HALLMARK_HYPOXIA	PAM	1	1
HALLMARK_HYPOXIA	TGFBI	1	1
HALLMARK_HYPOXIA	DCN	1	1
HALLMARK_HYPOXIA	SIAH2	1	1
HALLMARK_HYPOXIA	PLAC8	1	1
HALLMARK_HYPOXIA	FBP1	1	1
HALLMARK_HYPOXIA	TPST2	1	1
HALLMARK_HYPOXIA	PHKG1	1	1
HALLMARK_HYPOXIA	MYH9	1	1
HALLMARK_HYPOXIA	CDKN1C	1	1
HALLMARK_HYPOXIA	GRHPR	1	1
HALLMARK_HYPOXIA	PCK1	1	1
HALLMARK_HYPOXIA	INHA	1	1
HALLMARK_HYPOXIA	HSPA5	1	1
HALLMARK_HYPOXIA	NDST2	1	1
HALLMARK_HYPOXIA	NEDD4L	1	1
HALLMARK_HYPOXIA	TPBG	1	1
HALLMARK_HYPOXIA	XPNPEP1	1	1
HALLMARK_HYPOXIA	IL6	1	1
HALLMARK_HYPOXIA	SLC6A6	1	1
HALLMARK_HYPOXIA	MAP3K1	1	1
HALLMARK_HYPOXIA	LDHC	1	1
HALLMARK_HYPOXIA	AKAP12	1	1
HALLMARK_HYPOXIA	TES	1	1
HALLMARK_HYPOXIA	KIF5A	1	1
HALLMARK_HYPOXIA	LALBA	1	1
HALLMARK_HYPOXIA	COL5A1	1	1
HALLMARK_HYPOXIA	GPC1	1	1
HALLMARK_HYPOXIA	HDLBP	1	1
HALLMARK_HYPOXIA	ILVBL	1	1
HALLMARK_HYPOXIA	NCAN	1	1
HALLMARK_HYPOXIA	TGM2	1	1
HALLMARK_HYPOXIA	ETS1	1	1
HALLMARK_HYPOXIA	HOXB9	1	1
HALLMARK_HYPOXIA	SELENBP1	1	1
HALLMARK_HYPOXIA	FOSL2	1	1
HALLMARK_HYPOXIA	SULT2B1	1	1
HALLMARK_HYPOXIA	TGFB3	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	FDPS	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	CYP51A1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	IDI1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	FDFT1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	DHCR7	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	SQLE	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HMGCS1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	NSDHL	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	LSS	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	MVD	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	LDLR	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	TM7SF2	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ALDOC	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	EBP	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	SCD	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	PMVK	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	MVK	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	LPL	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	SC5DL	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	FADS2	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HMGCR	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HSD17B7	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ANXA13	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	SREBF2	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	PCYT2	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ACSS2	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ATF3	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ADH4	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ETHE1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ECH1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	CBS	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	GUSB	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	FASN	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	LGALS3	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ATF5	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	ANXA5	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	TP53INP1	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	CHKA	1	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	GSTM2	1	1
